-504.021,-10.4567,-504.718
-383.016,64.4689,-130.038
-245.771,9.54123,-368.234
-126.324,9.81402,-450.774
-100.435,26.7232,-283.254
-106.224,23.4877,-44.3134
164.937,-6.65613,25.629
166.625,-6.65613,55.5284
170.518,-6.65613,94.4082
196.673,8.55422,31.1233
229.923,-21.9416,-163.045
252.834,-4.42136,-61.5981
259.903,23.2868,7.92088
270.012,23.7757,105.677
264.976,46.2759,187.012
272.796,27.2822,296.165
282.342,50.2213,388.278
250.952,23.7825,495.417
255.799,23.7825,597.862
279.877,23.7825,601.841
301.855,23.7825,630.395
298.091,23.7825,671.59
253.396,23.7825,695.852
215.788,23.7825,670.574
223.127,23.7825,625.746
151.868,-45.0612,-276.724
