-620.938,-21.9395,-89.8628
-479.381,-21.9388,80.7364
-232.276,-21.8802,74.9617
33.9544,-21.9469,90.6732
158.451,-21.9453,-71.2457
247.378,-21.9411,-271.524
81.2821,-21.9455,-410.656
-115.104,-21.9539,-556.628
-81.3856,-18.1792,-146.696
63.5069,-21.9443,-151.253
130.167,-21.9518,-168.883
167.061,-23.7482,-229.285
153.42,-21.9091,-358.157
69.0649,-21.9497,-362.173
-38.042,-21.9635,-408.192
-84.924,-6.75976,-430.202
-202.625,-18.8112,-426.121
-300.084,-21.9435,-478.425
-339.538,-21.8724,-386.798
-319.895,-8.94844,-290.573
-253.027,-11.3257,-257.157
-267.045,20.4839,-171.201
-176.569,-15.6107,-108.296
